cve,epss,date
CVE-2025-55051,0.00062,2025-12-24
CVE-2025-55113,0.00055,2025-12-24
CVE-2025-55729,0.00421,2025-12-24
CVE-2025-55730,0.00421,2025-12-24
CVE-2025-58321,0.00698,2025-12-24
CVE-2025-58384,0.00578,2025-12-24
CVE-2025-59528,0.81489,2025-12-24
CVE-2025-60219,0.00064,2025-12-24
CVE-2025-41243,0.07004,2025-12-27
CVE-2025-42944,0.0002,2025-12-27
CVE-2025-55051,0.00062,2025-12-27
CVE-2025-55113,0.00055,2025-12-27
CVE-2025-55729,0.00421,2025-12-27
CVE-2025-55730,0.00421,2025-12-27
CVE-2025-58321,0.00698,2025-12-27
CVE-2025-58384,0.00578,2025-12-27
CVE-2025-59528,0.83159,2025-12-27
CVE-2025-60219,0.00064,2025-12-27
CVE-2025-41243,0.07004,2025-12-30
CVE-2025-42944,0.0002,2025-12-30
CVE-2025-55051,0.00062,2025-12-30
CVE-2025-55113,0.00055,2025-12-30
CVE-2025-55729,0.00421,2025-12-30
CVE-2025-55730,0.00421,2025-12-30
CVE-2025-58321,0.00698,2025-12-30
CVE-2025-58384,0.00578,2025-12-30
CVE-2025-59528,0.83159,2025-12-30
CVE-2025-60219,0.00064,2025-12-30
CVE-2025-41243,0.07004,2026-01-02
CVE-2025-42944,0.00063,2026-01-02
CVE-2025-55051,0.00062,2026-01-02
CVE-2025-55113,0.00055,2026-01-02
CVE-2025-55729,0.00421,2026-01-02
CVE-2025-55730,0.00421,2026-01-02
CVE-2025-58321,0.00698,2026-01-02
CVE-2025-58384,0.00578,2026-01-02
CVE-2025-59528,0.83159,2026-01-02
CVE-2025-60219,0.00064,2026-01-02
CVE-2025-41243,0.07004,2026-01-05
CVE-2025-42944,0.0002,2026-01-05
CVE-2025-55051,0.00062,2026-01-05
CVE-2025-55113,0.00055,2026-01-05
CVE-2025-55729,0.00421,2026-01-05
CVE-2025-55730,0.00421,2026-01-05
CVE-2025-58321,0.00698,2026-01-05
CVE-2025-58384,0.00578,2026-01-05
CVE-2025-59528,0.83159,2026-01-05
CVE-2025-60219,0.00064,2026-01-05
